family,genus,aerobic_status,gram_stain,spore_formation,saccharolytic,num_species
Oxalobacteraceae,Duganella,aerobe,Gram-negative,non-spore forming,not indicated,5
Cytophagaceae,Dyadobacter,aerobe,Gram-negative,not indicated,not indicated,14
Eggerthellaceae,Eggerthella,obligate anaerobe,Gram-positive,non-spore forming,not indicated,2
Neisseriaceae,Eikenella,facultative anaerobe,Gram-negative,non-spore forming,asaccharolytic,1
Moraxellaceae,Enhydrobacter,facultative anaerobe,Gram-negative,not indicated,not indicated,1
Enterobacteriaceae,Enterobacter,facultative anaerobe,Gram-negative,not indicated,saccharolytic,17
Enterococcaceae,Enterococcus,facultative anaerobe,Gram-positive,non-spore forming,saccharolytic,50
Eggerthellaceae,Enterorhabdus,not indicated,Gram-positive,non-spore forming,not indicated,2
Aerococcaceae,Eremococcus,facultative anaerobe,Gram-positive,not indicated,saccharolytic,1
Enterobacteriaceae,Escherichia,facultative anaerobe,Gram-negative,not indicated,saccharolytic,5
Eubacteriaceae,Eubacterium,obligate anaerobe,Gram-positive,non-spore forming,mixed,38
Aerococcaceae,Facklamia,facultative anaerobe,Gram-positive,non-spore forming,asaccharolytic,6
Ruminococcaceae,Faecalibacterium,obligate anaerobe,Gram-negative,non-spore forming,saccharolytic,1
Peptostreptococcaceae,Filifactor,not indicated,Gram-variable,spore forming,saccharolytic,2
Unclassified Clostridiales,Flavonifractor,obligate anaerobe,Gram-variable,mixed,asaccharolytic,1
Unclassified Clostridiales,Fusibacter,obligate anaerobe,Gram-positive,non-spore forming,not indicated,4
Fusobacteriaceae,Fusobacterium,obligate anaerobe,Gram-negative,non-spore forming,saccharolytic,18
Eubacteriaceae,Garciella,obligate anaerobe,Gram-positive,spore forming,not indicated,1
Bifidobacteriaceae,Gardnerella,facultative anaerobe,Gram-variable,not indicated,saccharolytic,1
Unclassified Bacillales,Gemella,facultative anaerobe,Gram-variable,non-spore forming,saccharolytic,7
Hyphomicrobiaceae,Gemmiger,obligate anaerobe,Gram-variable,not indicated,saccharolytic,1
Eggerthellaceae,Gordonibacter,obligate anaerobe,Gram-positive,non-spore forming,asaccharolytic,3
Carnobacteriaceae,Granulicatella,facultative anaerobe,Gram-positive,non-spore forming,saccharolytic,3
Acidobacteriaceae,Granulicella,aerobe,Gram-negative,non-spore forming,not indicated,9
Unclassified Clostridiales,Guggenheimella,obligate anaerobe,Gram-positive,non-spore forming,asaccharolytic,1
Prevotellaceae,Hallella,obligate anaerobe,Gram-negative,non-spore forming,saccharolytic,1
Unclassified Clostridiales,Helcococcus,facultative anaerobe,Gram-positive,not indicated,saccharolytic,3
Helicobacteraceae,Helicobacter,microaerobe or anaerobe,Gram-negative,not indicated,not indicated,35
Oxalobacteraceae,Herbaspirillum,microaerobe or anaerobe,Gram-negative,not indicated,not indicated,12
Lachnospiraceae,Hespellia,obligate anaerobe,Gram-positive,non-spore forming,saccharolytic,2
Phyllobacteriaceae,Hoeflea,aerobe,Gram-negative,non-spore forming,not indicated,7
Erysipelotrichaceae,Holdemania,obligate anaerobe,Gram-positive,non-spore forming,saccharolytic,1
Chitinophagaceae,Hydrotalea,aerobe,Gram-negative,not indicated,not indicated,2
Ruminococcaceae,Intestinimonas,obligate anaerobe,Gram-positive,spore forming,saccharolytic,1
Oxalobacteraceae,Janthinobacterium,aerobe,Gram-negative,not indicated,not indicated,2
Lachnospiraceae,Johnsonella,obligate anaerobe,Gram-negative,non-spore forming,asaccharolytic,1
Synergistaceae,Jonquetella,obligate anaerobe,Gram-negative,non-spore forming,not indicated,1
Neisseriaceae,Kingella,aerobe,Gram-negative,non-spore forming,not indicated,4
Micrococcaceae,Kocuria,aerobe,Gram-positive,non-spore forming,not indicated,20
Lachnospiraceae,Lachnoanaerobaculum,obligate anaerobe,Gram-variable,spore forming,saccharolytic,3
Lachnospiraceae,Lachnobacterium,obligate anaerobe,Gram-positive,non-spore forming,not indicated,1
Lachnospiraceae,Lachnospira,anaerobe (unspecified),Gram-positive,non-spore forming,saccharolytic,1
